电影名称,评分,评价人数
电影名称,评分,评价人数
电影名称,评分,评价人数
火星救援,8.5,778008人评价
二十二,8.7,302403人评价
大红灯笼高高挂,8.8,318420人评价
战争之王,8.7,390311人评价
哈利·波特与凤凰社,8.5,619367人评价
血钻,8.7,399985人评价
步履不停,8.8,298122人评价
千年女优,8.8,292068人评价
谍影重重2,8.7,373123人评价
房间,8.8,383274人评价
魂断蓝桥,8.8,293584人评价
蜘蛛侠：平行宇宙,8.6,710117人评价
弱点,8.7,332706人评价
谍影重重,8.6,453750人评价
阿飞正传,8.5,539217人评价
朗读者,8.6,470242人评价
隐藏人物,8.9,239335人评价
再次出发之纽约遇见你,8.6,447578人评价
